<<<<<<< HEAD
result,a,b,c,d,e,f,g,h,k
1,-0.295235525,-0.112328554,-2.222254927,1.320601614,1.980502126,0.086743847,-0.297044263,-0.955324019,-1.124518668
1,-1.18164534,0.235831153,1.747495141,1.320601614,1.593105047,2.012237274,4.587683616,0.247977724,3.868344219
1,-1.18164534,0.235831153,0.27641097,1.917202857,0.430913811,1.219650444,-0.297044263,0.247977724,0.539768961
1,-1.18164534,0.235831153,0.876617612,-1.100808023,0.527763081,0.822339327,-0.297044263,-0.955324019,0.539768961
1,-0.134326746,0.235831153,-0.133761595,-1.100808023,0.527763081,1.189358824,-0.297044263,-0.955324019,0.539768961
1,1.19165967,-0.112328554,0.73872867,0.061402191,-0.247031076,0.310970127,2.145319676,1.451279468,0.539768961
1,,0.235831153,-0.329910631,-0.783185356,0.81831089,0.085031711,-0.297044263,0.247977724,-1.124518668
1,-0.295235525,0.235831153,2.744972459,0.104569999,1.012009429,1.816000255,2.145319676,1.451279468,0.539768961
1,-1.156676785,0.235831153,1.93497572,0.104569999,1.012009429,1.573810969,2.145319676,1.451279468,0.539768961
1,-0.989089147,0.235831153,-2.222254927,-1.100808023,-1.796619391,-0.812317296,-0.297044263,-0.955324019,-1.124518668
1,-0.134326746,0.235831153,0.460047861,0.268939729,-1.021825234,-0.725903938,-0.297044263,1.451279468,0.539768961
1,0.175737651,-0.112328554,1.110303083,1.334299091,1.302557238,1.751623977,-0.297044263,1.451279468,0.539768961
1,-0.989089147,-0.460488261,1.548322225,0.116745534,-0.150181807,0.56699773,-0.297044263,1.451279468,-1.124518668
1,-0.134326746,0.235831153,-2.222254927,2.524457694,-0.440729616,1.391235112,4.587683616,1.451279468,0.539768961
1,-0.134326746,0.235831153,-2.222254927,-1.100808023,-1.796619391,2.056780512,-0.297044263,-0.955324019,-1.124518668
1,-0.980013387,0.235831153,0.487141829,-1.100808023,0.140366002,1.239353168,-0.297044263,-0.955324019,0.539768961
1,-0.718714373,0.235831153,0.641084826,0.116745534,0.334064542,0.814401246,-0.297044263,-0.955324019,0.539768961
1,-0.821869294,-0.112328554,0.392669442,1.09078838,0.237215272,1.156017247,-0.297044263,-0.955324019,0.539768961
1,-0.821869294,0.235831153,0.825816423,-0.445202262,-0.150181807,-0.55602019,-0.297044263,-0.955324019,0.539768961
,-0.543479898,0.125885982,0.233257596,0.186762974,0.227020612,0.842016334,0.602774031,0.121314383,0.276986704
=======
,result,0,1,2,3,4,5,6,7,8
0,1.0,-0.29523552526146424,-0.11232855414632356,-2.222254927485423,1.320601613949039,1.9805021259864235,0.08674384652775537,-0.29704426289300234,-0.9553240194226782,-1.1245186684580606
1,0.0,1.909553908463514,0.23583115294594445,1.3676957743355942,1.9172028570650104,1.205707968653557,1.678858237196896,4.587683615791923,0.24797772419056732,-1.1245186684580606
2,0.0,-1.1566767846601114,-0.11232855414632356,0.767757921201084,-1.1008080232895052,1.3994065079867706,0.5524445823724766,-0.29704426289300234,1.4512794678038132,-1.1245186684580606
3,0.0,-0.9890891465262517,0.23583115294594445,0.4009337500030041,2.539677113275296,1.496255777653381,0.715439839918129,-0.29704426289300234,0.24797772419056732,0.5397689608598725
4,0.0,0.34608495828674535,0.23583115294594445,-2.222254927485423,-0.46556268900453185,1.3025572383201673,-1.0775079930840479,-0.29704426289300234,0.24797772419056732,-1.1245186684580606
5,0.0,-0.13432674628711386,0.23583115294594445,0.43972738537431155,-1.1008080232895052,2.271049934986253,1.3949952557757552,2.145319676449461,1.4512794678038132,0.5397689608598725
6,0.0,-0.9800133867346049,-0.11232855414632356,-0.8487412941891221,0.10456999851623167,1.3994065079867706,0.37981413718865803,-0.29704426289300234,0.24797772419056732,-1.1245186684580606
7,0.0,0.6976010150041928,-0.11232855414632356,-0.13254114567579017,-1.1008080232895052,-1.0218252336784432,-1.2930519147419086,-0.29704426289300234,1.4512794678038132,0.5397689608598725
8,0.0,-0.9800133867346049,0.23583115294594445,0.5337095853512297,1.334299091469559,0.9151601596537278,0.7125292103190997,2.145319676449461,0.24797772419056732,-1.1245186684580606
9,0.0,1.1916596702195978,-0.11232855414632356,0.8581444525934165,2.5244576938080523,-0.9249759640118334,0.7437145274515582,4.587683615791923,1.4512794678038132,0.5397689608598725
10,0.0,0.17573765112393488,-0.11232855414632356,0.1863191005398874,0.11674553409002657,-0.44072961567879015,1.2218893901492636,-0.29704426289300234,0.24797772419056732,0.5397689608598725
11,0.0,0.7390149407223979,0.23583115294594445,-0.5855731370530775,-0.3905684481514446,-1.3123730426782663,-1.3362306241088928,-0.29704426289300234,0.24797772419056732,0.5397689608598725
12,0.0,-0.3893419357786857,0.23583115294594445,-2.222254927485423,0.7255223127797932,1.3994065079867706,-1.9506968727929004,2.145319676449461,0.24797772419056732,0.5397689608598725
13,0.0,-1.1816453403537952,0.23583115294594445,-0.21843024329287483,-1.1008080232895052,0.043516732654252585,-0.19387069942996116,-0.29704426289300234,0.24797772419056732,0.5397689608598725
14,0.0,0.7345227407365514,-0.11232855414632356,-0.12670587394603272,-1.1008080232895052,-0.05333253701235798,-1.2230394730355234,-0.29704426289300234,0.24797772419056732,3.868344219495643
15,0.0,0.944791751735966,-0.11232855414632356,0.6451899727112377,1.334299091469559,-0.34388034601218065,0.2759347704646734,-0.29704426289300234,0.24797772419056732,-1.1245186684580606
16,1.0,-1.1816453403537952,0.23583115294594445,1.7474951410376818,1.320601613949039,1.5931050473199904,2.0122372735780454,4.587683615791923,0.24797772419056732,3.868344219495643
17,0.0,-0.9890891465262517,-0.11232855414632356,0.4791730146174062,2.5244576938080523,-0.9249759640118334,0.017616393550804542,4.587683615791923,1.4512794678038132,0.5397689608598725
18,0.0,1.1916596702195978,0.23583115294594445,0.9782199906474641,1.9172028570650104,1.205707968653557,1.7032627469118362,4.587683615791923,0.24797772419056732,0.5397689608598725
19,0.0,-0.13432674628711386,0.23583115294594445,0.457507801586161,2.539677113275296,1.496255777653381,0.2666736762859437,-0.29704426289300234,0.24797772419056732,0.5397689608598725
20,0.0,-0.9800133867346049,-0.11232855414632356,0.5006888123863666,0.10456999851623167,1.6899543169865998,-0.7317604770781185,-0.29704426289300234,-0.9553240194226782,-1.1245186684580606
21,0.0,0.944791751735966,-0.11232855414632356,-0.14617966313043954,-1.1008080232895052,-1.0218252336784432,-0.32074429733637577,-0.29704426289300234,0.24797772419056732,0.5397689608598725
22,0.0,0.17573765112393488,-0.11232855414632356,0.3787659583622568,0.7255223127797932,-0.6344281550120033,-0.5600627310343581,-0.29704426289300234,0.24797772419056732,-1.1245186684580606
23,0.0,-0.9800133867346049,-0.46048826123859155,-0.44421330630048583,-0.2578863297190597,-1.7966193910113089,-1.172103455052507,-0.29704426289300234,-0.9553240194226782,-1.1245186684580606
24,0.0,0.7390149407223979,-0.11232855414632356,0.0825148130580597,-0.46556268900453185,0.9151601596537278,0.6106571743530669,-0.29704426289300234,0.24797772419056732,0.5397689608598725
25,0.0,0.6976010150041928,0.23583115294594445,-0.13940617124021085,-1.1008080232895052,-0.44072961567879015,-0.23959947215131047,-0.29704426289300234,1.4512794678038132,0.5397689608598725
26,0.0,0.34608495828674535,-0.46048826123859155,0.5548767475081928,0.10456999851623167,-0.5375788853454008,0.858060690270575,2.145319676449461,0.24797772419056732,0.5397689608598725
27,0.0,1.909553908463514,0.23583115294594445,0.5819707150691068,0.11674553409002657,0.9151601596537278,0.09678050031751168,-0.29704426289300234,0.24797772419056732,0.5397689608598725
28,0.0,-0.3893419357786857,-0.46048826123859155,1.8418402066515767,1.334299091469559,0.14036600232086208,1.4588978003559512,-0.29704426289300234,1.4512794678038132,-1.1245186684580606
29,0.0,0.7345227407365514,0.23583115294594445,-0.6140344244054962,-0.10462783997897937,-1.7966193910113089,-1.1955501934891335,-0.29704426289300234,-0.9553240194226782,-1.1245186684580606
30,0.0,-0.29523552526146424,-0.11232855414632356,0.07903894221965274,-0.18764285525485608,-0.05333253701235798,-0.8752958314672606,-0.29704426289300234,0.24797772419056732,3.868344219495643
31,0.0,-1.1566767846601114,-0.11232855414632356,0.7953357096112991,1.0907883799936529,-0.24703107634557117,0.7723588187435951,2.145319676449461,0.24797772419056732,0.5397689608598725
